시도명,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정
합계,"32,807,908","13,423,800","7,852,849","6,998,342","2,208,771","2,017,458"
서울특별시,"6,590,646","2,781,345","1,365,285","1,492,767","476,973","425,459"
부산광역시,"2,261,633","872,127","720,484","378,907","162,480","109,329"
대구광역시,"1,581,347","342,620","714,205","235,757","198,459","74,440"
인천광역시,"1,820,091","747,090","379,191","428,888","118,691","129,925"
광주광역시,"957,321","583,847","14,882","287,222","20,862","43,719"
대전광역시,"945,897","404,545","191,376","218,769","59,820","63,669"
울산광역시,"744,960","282,794","203,602","128,520","60,289","62,187"
세종특별자치시,"152,801","77,767","23,211","32,010","9,192","9,353"
경기도,"7,916,009","3,319,812","1,637,345)","1,807,308","540,023","546,373"
강원도,"955,885","324,768","284,909","206,840","65,278","62,389"
충청북도,"975,441","374,806","255,502","211,454","57,282","65,095"
충청남도,"1,240,204","476,661","306,614","290,216","68,521","83,868"
전라북도,"1,205,794","778,747","40,231","285,467","30,802","59,296"
전라남도,"1,238,738","737,921","30,221","378,179","25,819","49,509"
경상북도,"1,711,627","369,726","827,237","253,905","149,017","88,080"
경상남도,"2,135,055","779,731","790,491","284,272","142,479","113,051"
제주특별자치도,"374,459","169,493","68,063","77,861","22,784","31,716"
